,name,make,model,year,tank_capacity,initial_odometer,fuel_id,fill_date,mileage,fuel,cost,partial,comment
0,intrepid,Dodge,Intrepid,1997,50.0,104768.7,1,2002-07-26,598.0,40.0,30.0,False,
1,intrepid,Dodge,Intrepid,1997,50.0,104768.7,2,2002-08-06,516.3,47.56,34.0,False,
2,intrepid,Dodge,Intrepid,1997,50.0,104768.7,3,2002-08-23,450.9,50.39,37.0,False,
3,intrepid,Dodge,Intrepid,1997,50.0,104768.7,4,2002-09-05,438.5,44.53,32.0,False,
4,intrepid,Dodge,Intrepid,1997,50.0,104768.7,5,2002-09-27,485.2,48.2,36.0,False,
5,intrepid,Dodge,Intrepid,1997,50.0,104768.7,6,2002-10-13,345.0,37.89,28.0,False,
6,intrepid,Dodge,Intrepid,1997,50.0,104768.7,7,2002-10-27,460.7,48.45,36.0,False,
7,intrepid,Dodge,Intrepid,1997,50.0,104768.7,8,2002-11-15,496.3,57.7,40.0,False,
8,intrepid,Dodge,Intrepid,1997,50.0,104768.7,9,2002-12-01,446.1,52.625,37.0,False,
9,intrepid,Dodge,Intrepid,1997,50.0,104768.7,10,2002-12-15,363.0,44.101,31.0,False,
10,intrepid,Dodge,Intrepid,1997,50.0,104768.7,11,2002-12-31,401.2,47.68,36.0,False,
11,intrepid,Dodge,Intrepid,1997,50.0,104768.7,12,2003-01-10,377.0,44.61,35.0,False,
12,intrepid,Dodge,Intrepid,1997,50.0,104768.7,13,2003-01-24,308.6,50.4,38.0,False,
13,intrepid,Dodge,Intrepid,1997,50.0,104768.7,14,2003-01-31,446.3,48.44,38.0,False,
14,intrepid,Dodge,Intrepid,1997,50.0,104768.7,15,2003-02-06,527.0,57.689,45.0,False,
15,intrepid,Dodge,Intrepid,1997,50.0,104768.7,16,2003-02-13,469.3,51.53,42.0,False,
16,intrepid,Dodge,Intrepid,1997,50.0,104768.7,17,2003-02-21,359.7,46.036,36.0,False,
17,intrepid,Dodge,Intrepid,1997,50.0,104768.7,18,2003-03-02,480.9,54.9,44.0,False,
18,intrepid,Dodge,Intrepid,1997,50.0,104768.7,19,2003-03-12,429.7,54.0,44.0,False,
19,intrepid,Dodge,Intrepid,1997,50.0,104768.7,20,2003-03-20,453.3,46.636,38.01,False,
20,intrepid,Dodge,Intrepid,1997,50.0,104768.7,21,2003-03-29,472.1,34.023,25.0,False,
21,intrepid,Dodge,Intrepid,1997,50.0,104768.7,22,2003-04-09,342.9,54.9,42.0,False,
22,intrepid,Dodge,Intrepid,1997,50.0,104768.7,23,2003-04-17,556.0,53.144,38.0,False,
23,intrepid,Dodge,Intrepid,1997,50.0,104768.7,24,2003-05-01,495.9,53.706,37.0,False,
24,intrepid,Dodge,Intrepid,1997,50.0,104768.7,25,2003-05-16,511.4,54.225,36.0,False,
