,name,make,model,year,tank_capacity,initial_odometer,fuel_id,fill_date,mileage,fuel,cost,partial,comment
0,matrix,Toyota,Matrix,2003,50.0,11.0,355,2003-06-03,545.0,40.6,27.0,False,
1,matrix,Toyota,Matrix,2003,50.0,11.0,356,2003-06-20,515.5,40.0,27.0,False,
2,matrix,Toyota,Matrix,2003,50.0,11.0,357,2003-07-04,498.4,36.8,25.0,False,
3,matrix,Toyota,Matrix,2003,50.0,11.0,358,2003-07-17,458.5,40.8,30.0,False,
4,matrix,Toyota,Matrix,2003,50.0,11.0,359,2003-07-29,512.0,37.78,27.0,False,
5,matrix,Toyota,Matrix,2003,50.0,11.0,360,2003-08-09,469.9,41.747,30.0,False,
6,matrix,Toyota,Matrix,2003,50.0,11.0,361,2003-08-11,502.9,39.497,28.0,False,
7,matrix,Toyota,Matrix,2003,50.0,11.0,362,2003-08-13,390.4,32.97,25.0,False,
8,matrix,Toyota,Matrix,2003,50.0,11.0,363,2003-08-18,517.0,36.63,27.0,False,
9,matrix,Toyota,Matrix,2003,50.0,11.0,364,2003-08-29,426.5,31.535,25.0,False,
10,matrix,Toyota,Matrix,2003,50.0,11.0,365,2003-09-07,433.0,37.55,30.0,False,
11,matrix,Toyota,Matrix,2003,50.0,11.0,366,2003-09-18,513.0,39.9,30.0,False,
12,matrix,Toyota,Matrix,2003,50.0,11.0,367,2003-09-26,475.0,36.36,26.0,False,
13,matrix,Toyota,Matrix,2003,50.0,11.0,368,2003-10-07,493.8,40.06,30.0,False,
14,matrix,Toyota,Matrix,2003,50.0,11.0,369,2003-10-17,491.3,37.05,27.0,False,
15,matrix,Toyota,Matrix,2003,50.0,11.0,370,2003-10-28,452.9,38.81,27.0,False,
16,matrix,Toyota,Matrix,2003,50.0,11.0,371,2003-11-15,428.0,39.266,28.0,False,
17,matrix,Toyota,Matrix,2003,50.0,11.0,372,2003-11-25,437.8,38.38,27.0,False,
18,matrix,Toyota,Matrix,2003,50.0,11.0,373,2003-12-08,428.6,39.63,28.0,False,
19,matrix,Toyota,Matrix,2003,50.0,11.0,374,2003-12-16,404.4,36.476,26.0,False,
20,matrix,Toyota,Matrix,2003,50.0,11.0,375,2003-12-22,428.7,36.02,25.0,False,
21,matrix,Toyota,Matrix,2003,50.0,11.0,376,2004-01-05,409.0,34.575,25.0,False,
22,matrix,Toyota,Matrix,2003,50.0,11.0,377,2004-01-12,406.8,35.96,26.0,False,
23,matrix,Toyota,Matrix,2003,50.0,11.0,378,2004-01-14,379.6,31.812,23.0,False,
24,matrix,Toyota,Matrix,2003,50.0,11.0,379,2004-01-21,402.8,38.727,28.0,False,
25,matrix,Toyota,Matrix,2003,50.0,11.0,380,2004-01-31,436.1,39.13,29.0,False,
26,matrix,Toyota,Matrix,2003,50.0,11.0,381,2004-02-09,421.8,37.792,28.0,False,
27,matrix,Toyota,Matrix,2003,50.0,11.0,382,2004-02-15,406.1,32.712,24.0,False,
28,matrix,Toyota,Matrix,2003,50.0,11.0,383,2004-02-19,474.3,41.377,32.07,False,
29,matrix,Toyota,Matrix,2003,50.0,11.0,384,2004-02-25,384.4,31.035,23.0,False,
30,matrix,Toyota,Matrix,2003,50.0,11.0,385,2004-03-03,471.2,37.54,33.0,False,
31,matrix,Toyota,Matrix,2003,50.0,11.0,386,2004-03-09,479.8,40.79,33.0,False,
32,matrix,Toyota,Matrix,2003,50.0,11.0,387,2004-03-18,501.8,41.516,34.0,False,
33,matrix,Toyota,Matrix,2003,50.0,11.0,388,2004-03-29,503.3,37.852,31.0,False,
34,matrix,Toyota,Matrix,2003,50.0,11.0,389,2004-04-12,477.5,37.776,30.0,False,
35,matrix,Toyota,Matrix,2003,50.0,11.0,390,2004-04-20,535.4,38.411,31.0,False,
36,matrix,Toyota,Matrix,2003,50.0,11.0,391,2004-04-26,494.5,40.7,32.5,False,
37,matrix,Toyota,Matrix,2003,50.0,11.0,392,2004-05-04,513.8,38.6,32.0,False,
38,matrix,Toyota,Matrix,2003,50.0,11.0,393,2004-05-13,534.2,38.077,34.0,False,
39,matrix,Toyota,Matrix,2003,50.0,11.0,394,2004-05-19,509.5,41.542,40.0,False,
40,matrix,Toyota,Matrix,2003,50.0,11.0,395,2004-05-27,560.3,39.07,37.0,False,
41,matrix,Toyota,Matrix,2003,50.0,11.0,396,2004-06-03,530.6,41.618,38.5,False,
42,matrix,Toyota,Matrix,2003,50.0,11.0,397,2004-06-08,423.8,30.0,26.85,False,
43,matrix,Toyota,Matrix,2003,50.0,11.0,398,2004-06-15,564.2,41.234,35.0,False,
44,matrix,Toyota,Matrix,2003,50.0,11.0,399,2004-06-19,554.6,39.515,33.0,False,
45,matrix,Toyota,Matrix,2003,50.0,11.0,400,2004-06-28,531.2,40.49,33.0,False,
46,matrix,Toyota,Matrix,2003,50.0,11.0,401,2004-07-07,494.0,38.6,31.0,False,
47,matrix,Toyota,Matrix,2003,50.0,11.0,402,2004-07-13,506.7,35.456,31.02,False,
48,matrix,Toyota,Matrix,2003,50.0,11.0,403,2004-07-19,463.0,33.444,25.0,False,
49,matrix,Toyota,Matrix,2003,50.0,11.0,404,2004-07-25,546.1,38.963,33.0,False,
50,matrix,Toyota,Matrix,2003,50.0,11.0,405,2004-07-29,413.9,34.295,29.05,False,
51,matrix,Toyota,Matrix,2003,50.0,11.0,406,2004-08-05,461.5,33.647,28.5,False,
52,matrix,Toyota,Matrix,2003,50.0,11.0,407,2004-08-09,503.3,34.329,29.01,False,
53,matrix,Toyota,Matrix,2003,50.0,11.0,408,2004-08-15,462.9,35.685,30.01,False,
54,matrix,Toyota,Matrix,2003,50.0,11.0,409,2004-08-20,570.4,40.427,34.0,False,
55,matrix,Toyota,Matrix,2003,50.0,11.0,410,2004-08-30,549.2,40.601,33.02,False,
56,matrix,Toyota,Matrix,2003,50.0,11.0,411,2004-09-08,567.0,42.298,31.0,False,
57,matrix,Toyota,Matrix,2003,50.0,11.0,412,2004-09-15,565.4,41.4,33.0,False,
58,matrix,Toyota,Matrix,2003,50.0,11.0,413,2004-09-22,557.8,40.628,31.0,False,
59,matrix,Toyota,Matrix,2003,50.0,11.0,414,2004-09-28,487.5,30.925,27.0,False,
60,matrix,Toyota,Matrix,2003,50.0,11.0,415,2004-10-04,478.6,39.104,33.0,False,
61,matrix,Toyota,Matrix,2003,50.0,11.0,416,2004-10-12,545.7,40.333,34.0,False,
62,matrix,Toyota,Matrix,2003,50.0,11.0,417,2004-10-21,550.6,40.839,35.0,False,
63,matrix,Toyota,Matrix,2003,50.0,11.0,418,2004-10-27,470.4,36.344,31.0,False,
64,matrix,Toyota,Matrix,2003,50.0,11.0,419,2004-11-04,535.2,30.068,26.0,False,
65,matrix,Toyota,Matrix,2003,50.0,11.0,420,2004-11-15,444.1,35.303,28.0,False,
66,matrix,Toyota,Matrix,2003,50.0,11.0,421,2004-11-21,462.9,33.422,21.0,False,
67,matrix,Toyota,Matrix,2003,50.0,11.0,422,2004-11-25,331.2,25.652,21.5,False,
68,matrix,Toyota,Matrix,2003,50.0,11.0,423,2004-11-26,287.3,23.375,18.0,False,
69,matrix,Toyota,Matrix,2003,50.0,11.0,424,2004-12-15,495.2,41.674,30.01,False,
70,matrix,Toyota,Matrix,2003,50.0,11.0,425,2004-12-21,356.9,29.742,21.0,False,
71,matrix,Toyota,Matrix,2003,50.0,11.0,426,2005-01-07,476.4,37.058,28.5,False,
72,matrix,Toyota,Matrix,2003,50.0,11.0,427,2005-01-14,517.9,41.078,34.01,False,
73,matrix,Toyota,Matrix,2003,50.0,11.0,428,2005-01-21,479.2,41.087,29.75,False,
74,matrix,Toyota,Matrix,2003,50.0,11.0,429,2005-01-27,439.5,37.191,26.0,False,
75,matrix,Toyota,Matrix,2003,50.0,11.0,430,2005-02-03,550.0,43.807,35.0,False,
76,matrix,Toyota,Matrix,2003,50.0,11.0,431,2005-02-08,297.4,22.702,18.0,False,
77,matrix,Toyota,Matrix,2003,50.0,11.0,432,2005-02-14,437.2,34.462,26.5,False,
78,matrix,Toyota,Matrix,2003,50.0,11.0,433,2005-02-17,427.3,34.63,26.01,False,
79,matrix,Toyota,Matrix,2003,50.0,11.0,434,2005-02-22,337.6,39.464,32.01,False,
80,matrix,Toyota,Matrix,2003,50.0,11.0,435,2005-02-23,183.8,18.31,15.0,False,
81,matrix,Toyota,Matrix,2003,50.0,11.0,436,2005-03-01,442.3,33.37,27.0,False,
82,matrix,Toyota,Matrix,2003,50.0,11.0,437,2005-03-14,551.9,39.815,35.0,False,
83,matrix,Toyota,Matrix,2003,50.0,11.0,438,2005-03-21,533.6,41.912,36.0,False,
84,matrix,Toyota,Matrix,2003,50.0,11.0,439,2005-03-29,466.5,35.13,31.02,False,
85,matrix,Toyota,Matrix,2003,50.0,11.0,440,2005-04-20,285.2,41.324,35.91,False,
86,matrix,Toyota,Matrix,2003,50.0,11.0,441,2005-04-27,562.8,40.159,37.55,False,
87,matrix,Toyota,Matrix,2003,50.0,11.0,442,2005-05-04,523.0,41.155,37.04,False,
88,matrix,Toyota,Matrix,2003,50.0,11.0,443,2005-05-11,561.0,41.571,36.0,False,
89,matrix,Toyota,Matrix,2003,50.0,11.0,444,2005-05-13,330.4,24.458,21.0,False,
90,matrix,Toyota,Matrix,2003,50.0,11.0,445,2005-05-26,585.7,41.508,34.0,False,
91,matrix,Toyota,Matrix,2003,50.0,11.0,446,2005-05-31,529.5,35.433,31.0,False,
92,matrix,Toyota,Matrix,2003,50.0,11.0,447,2005-06-08,573.7,36.01,39.83,False,
93,matrix,Toyota,Matrix,2003,50.0,11.0,448,2005-06-15,547.3,37.0,40.93,False,
94,matrix,Toyota,Matrix,2003,50.0,11.0,449,2005-06-22,554.3,37.261,33.5,False,
